"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","comparison"
"HALLMARK_FATTY_ACID_METABOLISM",0.491002570694087,0.707824192478924,0.0940503465727813,0.318425201098232,0.946533892171547,127,"ENSMUSG00000037894;ENSMUSG00000018900;ENSMUSG00000020098;ENSMUSG00000032349;ENSMUSG00000027078;ENSMUSG00000028223;ENSMUSG00000019877;ENSMUSG00000041959;ENSMUSG00000028672;ENSMUSG00000028224;ENSMUSG00000005813;ENSMUSG00000022742;ENSMUSG00000038776;ENSMUSG00000028149;ENSMUSG00000073609;ENSMUSG00000022216;ENSMUSG00000027809;ENSMUSG00000041084;ENSMUSG00000031349","Stable_Treg_vs_Never_Treg"
"HALLMARK_KRAS_SIGNALING_DN",0.491143317230274,0.707824192478924,0.0689567351672811,-0.354134318268179,-0.983019339368771,80,"ENSMUSG00000019970;ENSMUSG00000029671;ENSMUSG00000031132;ENSMUSG00000039145;ENSMUSG00000032641;ENSMUSG00000029279;ENSMUSG00000029009;ENSMUSG00000045064;ENSMUSG00000046329;ENSMUSG00000063972;ENSMUSG00000028017;ENSMUSG00000041439;ENSMUSG00000066687;ENSMUSG00000006191;ENSMUSG00000055170","Stable_Treg_vs_Never_Treg"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.531328320802005,0.743859649122807,0.0880945010398517,0.367812527114345,0.94708400556389,43,"ENSMUSG00000053158;ENSMUSG00000018585;ENSMUSG00000028691;ENSMUSG00000050708;ENSMUSG00000022820","Stable_Treg_vs_Never_Treg"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.6265664160401,0.852826510721248,0.0791316651768349,0.290623569780417,0.879977645479588,135,"ENSMUSG00000002489;ENSMUSG00000020914;ENSMUSG00000018900;ENSMUSG00000032578;ENSMUSG00000060675;ENSMUSG00000032349;ENSMUSG00000026463;ENSMUSG00000039236;ENSMUSG00000025402;ENSMUSG00000034266;ENSMUSG00000005087;ENSMUSG00000048490","Stable_Treg_vs_Never_Treg"
"HALLMARK_APOPTOSIS",0.67699836867863,0.896565407168996,0.0542315935495841,-0.302993204297883,-0.898914181599765,127,"ENSMUSG00000050335;ENSMUSG00000029287;ENSMUSG00000022892;ENSMUSG00000027249;ENSMUSG00000027985;ENSMUSG00000033730;ENSMUSG00000037580;ENSMUSG00000023927;ENSMUSG00000040687;ENSMUSG00000000817;ENSMUSG00000039168;ENSMUSG00000028191;ENSMUSG00000070348;ENSMUSG00000023905;ENSMUSG00000031584;ENSMUSG00000037202","Stable_Treg_vs_Never_Treg"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.707446808510638,0.897198731501057,0.0758886900606117,0.298973711395714,0.85258154883482,94,"ENSMUSG00000002489;ENSMUSG00000019942;ENSMUSG00000027999;ENSMUSG00000074781;ENSMUSG00000023027;ENSMUSG00000020115;ENSMUSG00000038696;ENSMUSG00000038058;ENSMUSG00000020048;ENSMUSG00000028698;ENSMUSG00000001729;ENSMUSG00000003814;ENSMUSG00000027490;ENSMUSG00000059883;ENSMUSG00000028645;ENSMUSG00000025132;ENSMUSG00000038128;ENSMUSG00000028159;ENSMUSG00000047126","Stable_Treg_vs_Never_Treg"
"HALLMARK_MYC_TARGETS_V1",0.734806629834254,0.897198731501057,0.0758886900606117,0.279108764945974,0.864962605798847,201,"ENSMUSG00000037894;ENSMUSG00000027715;ENSMUSG00000020849;ENSMUSG00000026355;ENSMUSG00000021377;ENSMUSG00000038965;ENSMUSG00000071172;ENSMUSG00000031948;ENSMUSG00000029169;ENSMUSG00000028426;ENSMUSG00000029430;ENSMUSG00000022346;ENSMUSG00000020368;ENSMUSG00000022858;ENSMUSG00000058799;ENSMUSG00000030591;ENSMUSG00000029686;ENSMUSG00000028633;ENSMUSG00000030512;ENSMUSG00000030869;ENSMUSG00000000568;ENSMUSG00000000028;ENSMUSG00000022774;ENSMUSG00000005846;ENSMUSG00000042354;ENSMUSG00000002129;ENSMUSG00000059796;ENSMUSG00000007739;ENSMUSG00000030751;ENSMUSG00000062203;ENSMUSG00000027342;ENSMUSG00000011179;ENSMUSG00000037601;ENSMUSG00000063229;ENSMUSG00000026037;ENSMUSG00000060373;ENSMUSG00000074656;ENSMUSG00000000088;ENSMUSG00000027236;ENSMUSG00000015671;ENSMUSG00000008333;ENSMUSG00000022234;ENSMUSG00000021832;ENSMUSG00000036371","Stable_Treg_vs_Never_Treg"
"HALLMARK_PEROXISOME",0.763779527559055,0.897198731501057,0.0713052987340038,0.292823038983038,0.823538622233233,80,"ENSMUSG00000020914;ENSMUSG00000032349;ENSMUSG00000066026;ENSMUSG00000022822;ENSMUSG00000027340;ENSMUSG00000028691;ENSMUSG00000024382;ENSMUSG00000028672;ENSMUSG00000046876","Stable_Treg_vs_Never_Treg"
"HALLMARK_MYOGENESIS",0.773927392739274,0.897198731501057,0.0486034247259069,-0.297459744242533,-0.851322492433384,104,"ENSMUSG00000022892;ENSMUSG00000031024;ENSMUSG00000031748;ENSMUSG00000001270;ENSMUSG00000022105;ENSMUSG00000020439;ENSMUSG00000025348;ENSMUSG00000032528;ENSMUSG00000002396;ENSMUSG00000059743;ENSMUSG00000024236;ENSMUSG00000026923;ENSMUSG00000039824;ENSMUSG00000061086;ENSMUSG00000028057;ENSMUSG00000029166;ENSMUSG00000041189;ENSMUSG00000024049;ENSMUSG00000030672;ENSMUSG00000026879;ENSMUSG00000064179;ENSMUSG00000074218;ENSMUSG00000057897;ENSMUSG00000025006;ENSMUSG00000004383;ENSMUSG00000052852;ENSMUSG00000030730;ENSMUSG00000008855;ENSMUSG00000020475;ENSMUSG00000020303;ENSMUSG00000033065","Stable_Treg_vs_Never_Treg"
"HALLMARK_GLYCOLYSIS",0.783854166666667,0.897198731501057,0.0696133438850965,0.270913743318981,0.822954190407009,146,"ENSMUSG00000032420;ENSMUSG00000019942;ENSMUSG00000021810;ENSMUSG00000020108;ENSMUSG00000028693;ENSMUSG00000017210;ENSMUSG00000026864;ENSMUSG00000007617;ENSMUSG00000039236;ENSMUSG00000005087;ENSMUSG00000033350;ENSMUSG00000028278;ENSMUSG00000035547","Stable_Treg_vs_Never_Treg"
"HALLMARK_SPERMATOGENESIS",0.787337662337662,0.897198731501057,0.0470699590082662,-0.300694370294132,-0.828606066576537,77,"ENSMUSG00000027719;ENSMUSG00000027379;ENSMUSG00000001829;ENSMUSG00000023236;ENSMUSG00000045064;ENSMUSG00000018341;ENSMUSG00000024642;ENSMUSG00000046707;ENSMUSG00000038379;ENSMUSG00000002413;ENSMUSG00000002297;ENSMUSG00000020486;ENSMUSG00000031397;ENSMUSG00000030815;ENSMUSG00000020193;ENSMUSG00000028991;ENSMUSG00000020698;ENSMUSG00000001157;ENSMUSG00000034842;ENSMUSG00000026743;ENSMUSG00000022913;ENSMUSG00000062859;ENSMUSG00000032594","Stable_Treg_vs_Never_Treg"
"HALLMARK_BILE_ACID_METABOLISM",0.809369951534733,0.90134380966368,0.0455878202571231,-0.294694920542447,-0.803907630501078,70,"ENSMUSG00000002769;ENSMUSG00000028127;ENSMUSG00000036257;ENSMUSG00000046532;ENSMUSG00000021884;ENSMUSG00000025950;ENSMUSG00000034926;ENSMUSG00000003271;ENSMUSG00000032204;ENSMUSG00000018733","Stable_Treg_vs_Never_Treg"
"HALLMARK_ADIPOGENESIS",0.842931937172775,0.917425449578876,0.0662842187012672,0.262624843126542,0.807886561518191,167,"ENSMUSG00000022013;ENSMUSG00000025780;ENSMUSG00000027900;ENSMUSG00000028339;ENSMUSG00000028223;ENSMUSG00000064289;ENSMUSG00000020009;ENSMUSG00000001918;ENSMUSG00000005873;ENSMUSG00000001211;ENSMUSG00000005514;ENSMUSG00000041028;ENSMUSG00000031996;ENSMUSG00000022956;ENSMUSG00000000440;ENSMUSG00000058454;ENSMUSG00000005312;ENSMUSG00000030869;ENSMUSG00000033685","Stable_Treg_vs_Never_Treg"
"HALLMARK_HEME_METABOLISM",0.861256544502618,0.917425449578876,0.0652353056017703,0.260605902145489,0.791994288166101,159,"ENSMUSG00000024052;ENSMUSG00000025702;ENSMUSG00000039616;ENSMUSG00000059495;ENSMUSG00000031402;ENSMUSG00000002980;ENSMUSG00000059554;ENSMUSG00000038615;ENSMUSG00000055322;ENSMUSG00000000708;ENSMUSG00000029106;ENSMUSG00000000056;ENSMUSG00000027510;ENSMUSG00000022742;ENSMUSG00000022175;ENSMUSG00000034663;ENSMUSG00000020823;ENSMUSG00000039361;ENSMUSG00000016534;ENSMUSG00000070544;ENSMUSG00000028645;ENSMUSG00000033685;ENSMUSG00000037419;ENSMUSG00000026393;ENSMUSG00000023074","Stable_Treg_vs_Never_Treg"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.924050632911392,0.963371936439537,0.0602484086158019,0.254395633411673,0.740378305938111,105,"ENSMUSG00000020108;ENSMUSG00000024640;ENSMUSG00000020362;ENSMUSG00000026864;ENSMUSG00000020166;ENSMUSG00000030795;ENSMUSG00000024359;ENSMUSG00000031490;ENSMUSG00000017264;ENSMUSG00000020048;ENSMUSG00000021917;ENSMUSG00000003814;ENSMUSG00000021357;ENSMUSG00000027808;ENSMUSG00000032115;ENSMUSG00000032285;ENSMUSG00000059796;ENSMUSG00000020484;ENSMUSG00000031770;ENSMUSG00000027575;ENSMUSG00000025451;ENSMUSG00000028044;ENSMUSG00000042626;ENSMUSG00000037851;ENSMUSG00000022285;ENSMUSG00000021116;ENSMUSG00000021427;ENSMUSG00000079339;ENSMUSG00000030104","Stable_Treg_vs_Never_Treg"
"HALLMARK_DNA_REPAIR",0.983633387888707,1,0.0372254009247509,-0.228766428354217,-0.682517756238101,139,"ENSMUSG00000028884;ENSMUSG00000059552;ENSMUSG00000066278;ENSMUSG00000024177;ENSMUSG00000028249;ENSMUSG00000029780;ENSMUSG00000028104;ENSMUSG00000016253;ENSMUSG00000048100;ENSMUSG00000022831;ENSMUSG00000024854;ENSMUSG00000025134","Stable_Treg_vs_Never_Treg"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1,1,0.0609039347452418,0.186585781019976,0.57534099306993,195,"ENSMUSG00000028223;ENSMUSG00000000959;ENSMUSG00000032330;ENSMUSG00000006057;ENSMUSG00000005514;ENSMUSG00000024359;ENSMUSG00000038084;ENSMUSG00000025968;ENSMUSG00000025076;ENSMUSG00000022956;ENSMUSG00000022820;ENSMUSG00000029632;ENSMUSG00000062580;ENSMUSG00000000563;ENSMUSG00000039016;ENSMUSG00000038690;ENSMUSG00000017778;ENSMUSG00000063882;ENSMUSG00000030246;ENSMUSG00000027809;ENSMUSG00000030869;ENSMUSG00000025733;ENSMUSG00000003072;ENSMUSG00000058076;ENSMUSG00000026032;ENSMUSG00000020163;ENSMUSG00000025428;ENSMUSG00000020153;ENSMUSG00000068329;ENSMUSG00000024132;ENSMUSG00000002010;ENSMUSG00000016427;ENSMUSG00000063229;ENSMUSG00000024099;ENSMUSG00000020456;ENSMUSG00000000088;ENSMUSG00000031633;ENSMUSG00000000168;ENSMUSG00000003438;ENSMUSG00000027406;ENSMUSG00000025465;ENSMUSG00000021794;ENSMUSG00000031299;ENSMUSG00000000171;ENSMUSG00000022427;ENSMUSG00000018770","Stable_Treg_vs_Never_Treg"
